search URL:,https://patents.google.com/?q=%28%22aerospace%22%29+%28%22fast+switching%22%29&country=US&status=GRANT&type=PATENT&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-8340197-B2,System and method for modulating a signal at an antenna ,Invertix Corporation,"Brecken H. Uhl, Arthur D. Hurtado, Daniel A. Law",2008-02-28,2008-11-25,2012-12-25,2012-12-25,https://patents.google.com/patent/US8340197B2/en,https://patentimages.storage.googleapis.com/12/22/c5/7bcc6b5dafc638/US08340197-20121225-D00000.png
US-11538930-B2,"Bidirectional blocking monolithic heterogeneous integrated cascode-structure field effect transistor, and manufacturing method thereof ",Xidian University,"Chunfu ZHANG, Weihang Zhang, Jiaqi Zhang, Guofang YANG, Yichang WU, Dazheng CHEN, Jincheng Zhang, Yue Hao",2020-07-30,2021-03-15,2022-12-27,2022-12-27,https://patents.google.com/patent/US11538930B2/en,https://patentimages.storage.googleapis.com/ad/dd/4c/eb0975d61e28a0/US11538930-20221227-D00000.png
US-8368119-B1,Integrated structure with transistors and schottky diodes and process for fabricating the same ,"Hrl Laboratories, Llc","Louis Luh, Keh-Chung Wang, Wah S. Wong, Miroslav Micovic, David Chow, Don Hitko",2007-09-11,2011-05-19,2013-02-05,2013-02-05,https://patents.google.com/patent/US8368119B1/en,https://patentimages.storage.googleapis.com/56/82/c0/be9db3ec07544f/US08368119-20130205-D00000.png
US-10274584-B2,Apparatus and method for generating bidirectional chirp signal by using phase accumulation polynomial ,Korea Aerospace Research Institute,"Sang Burm Ryu, Jeong Hwan Yang, Jong Pyo Kim, Young Jin Won, Young Jun Cho, Chul Kang, Sang Kon Lee",2013-12-09,2014-11-20,2019-04-30,2019-04-30,https://patents.google.com/patent/US10274584B2/en,https://patentimages.storage.googleapis.com/5b/f0/18/2ef634c4d72373/US10274584-20190430-D00000.png
US-7390984-B2,High power liquid dielectric switch ,"Alpha-Omega Power Technologies Ltd. Co., The Curators Of The University Of Missouri, The Boeing Company","William Ray Cravey, Randy D. Curry, Kenneth Fox McDonald, Glenn A. Anderson, Richard Sears",2003-06-17,2006-06-13,2008-06-24,2008-06-24,https://patents.google.com/patent/US7390984B2/en,https://patentimages.storage.googleapis.com/2e/41/4e/4a023774a30ebe/US07390984-20080624-D00000.png
US-7335871-B2,Low power switching for antenna reconfiguration ,Honeywell International Inc.,"Paul E. Bauhahn, Robert C. Becker, David W. Meyers, Kelly P. Muldoon",2005-10-18,2005-10-18,2008-02-26,2008-02-26,https://patents.google.com/patent/US7335871B2/en,https://patentimages.storage.googleapis.com/38/13/d2/912a1167e707ed/US07335871-20080226-D00000.png
US-11008650-B2,Compact system for coupling RF power directly into RF linacs ,Starfire Industries Llc,"Thomas J. Houlahan, JR., Daniel P. Menet, Ian F. Haehnlein, Ivan A. Shchelkanov, Robert A. Stubbers, Brian E. Jurczyk",2016-11-03,2020-04-14,2021-05-18,2021-05-18,https://patents.google.com/patent/US11008650B2/en,https://patentimages.storage.googleapis.com/a7/0d/ae/9f0e2813778393/US11008650-20210518-D00000.png
US-10923920-B2,Solid state power controller ,Hs Elektronik System Gmbh,Bernd LOEFFLAD,2017-04-11,2018-04-11,2021-02-16,2021-02-16,https://patents.google.com/patent/US10923920B2/en,https://patentimages.storage.googleapis.com/c5/2c/f6/c42741c03b6acd/US10923920-20210216-D00000.png
US-10811995-B2,Clamped quasi-resonant step-up inverter ,"Arcflash Labs, Llc",David Morgan Wirth,2018-07-25,2019-07-16,2020-10-20,2020-10-20,https://patents.google.com/patent/US10811995B2/en,https://patentimages.storage.googleapis.com/7b/fc/a7/2a9e025cf245ea/US10811995-20201020-D00000.png
US-9165932-B2,Memory cell and method of manufacturing a memory cell ,"Agency For Science, Technology And Research","Vincent Pott, Navab Singh",2011-06-24,2012-06-25,2015-10-20,2015-10-20,https://patents.google.com/patent/US9165932B2/en,https://patentimages.storage.googleapis.com/3a/e4/80/fa92d1c12e0ccf/US09165932-20151020-D00000.png
