search URL:,https://patents.google.com/?q=%28%22aerospace%22%29+%28%22power+semiconductor%22%29&country=US&status=GRANT&type=PATENT&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-7595687-B2,Apparatus and method for reducing EMI generated by a power conversion device ,Wisconsin Alumni Research Foundation,"Nicolai B. Mortensen, Venkata Giri Venkataramanan",2006-07-31,2006-07-31,2009-09-29,2009-09-29,https://patents.google.com/patent/US7595687B2/en,https://patentimages.storage.googleapis.com/df/e7/d9/ed1eb9792a8bbf/US07595687-20090929-D00000.png
US-7986057-B2,Method and system for improving peak power capability of an aircraft ,Honeywell International Inc.,"Evgeni Ganev, Bulent Sarlioglu, William Warr",2008-09-16,2008-09-16,2011-07-26,2011-07-26,https://patents.google.com/patent/US7986057B2/en,https://patentimages.storage.googleapis.com/6c/af/2b/fd92b00bf6681a/US07986057-20110726-D00000.png
US-10232472-B2,Transient liquid phase sinter pastes and application and processing methods relating thereto ,University Of Maryland College Park,"Hannes Greve, F. Patrick McCLUSKEY",2014-11-12,2015-11-11,2019-03-19,2019-03-19,https://patents.google.com/patent/US10232472B2/en,https://patentimages.storage.googleapis.com/c8/ce/e9/99abeeafdde43e/US10232472-20190319-D00000.png
US-9953925-B2,Semiconductor system and device ,Monolithic 3D Inc.,"Zvi Or-Bach, Deepak C. Sekar, Brian Cronquist, Zeev Wurman",2011-06-28,2015-12-20,2018-04-24,2018-04-24,https://patents.google.com/patent/US9953925B2/en,https://patentimages.storage.googleapis.com/91/57/27/6b6ea4cfa842cd/US09953925-20180424-D00000.png
US-10727193-B2,Sintering pastes with high metal loading for semiconductor die attach applications ,"Ormet Circuits, Inc.","Catherine Shearer, Eunsook Barber, Michael Matthews",2015-04-28,2016-04-27,2020-07-28,2020-07-28,https://patents.google.com/patent/US10727193B2/en,https://patentimages.storage.googleapis.com/09/85/7e/980575f6b60840/US10727193-20200728-D00001.png
US-7193383-B2,Enhanced floating reference frame controller for sensorless control of synchronous machines ,"Honeywell International, Inc.","Bulent Sarlioglu, Colin E. Huggett",2005-07-06,2005-07-06,2007-03-20,2007-03-20,https://patents.google.com/patent/US7193383B2/en,https://patentimages.storage.googleapis.com/a7/17/a0/b014e8007c52ca/US07193383-20070320-D00000.png
US-9160326-B2,Gate protected semiconductor devices ,The Hong Kong University Of Science And Technology,"Jing Chen, Man Ho KWAN",2012-07-10,2013-07-08,2015-10-13,2015-10-13,https://patents.google.com/patent/US9160326B2/en,https://patentimages.storage.googleapis.com/8c/a1/0c/90e348ee8d2abc/US09160326-20151013-D00000.png
US-9044822-B2,Transient liquid phase bonding process for double sided power modules ,"Toyota Motor Engineering & Manufacturing North America, Inc.","Sang Won Yoon, Takehiro Kato, Koji Shiozaki",2012-04-17,2013-08-01,2015-06-02,2015-06-02,https://patents.google.com/patent/US9044822B2/en,https://patentimages.storage.googleapis.com/f2/c6/02/556082a73b6fb5/US09044822-20150602-D00000.png
US-7772606-B2,Light-emitting photonic device ,Canon Kabushiki Kaisha,"Jiang-Rong Cao, Mamoru Miyawaki",2004-11-16,2005-11-16,2010-08-10,2010-08-10,https://patents.google.com/patent/US7772606B2/en,https://patentimages.storage.googleapis.com/41/56/eb/6015150335177c/US07772606-20100810-D00000.png
US-9325235-B2,Adaptive nonlinear current observer for boost PFC AC/DC converters ,Cistel Technology Inc.,"Majid Pahlevaninezhad, Praveen Jain",2014-03-17,2014-03-17,2016-04-26,2016-04-26,https://patents.google.com/patent/US9325235B2/en,https://patentimages.storage.googleapis.com/4b/f8/7b/578e1232dab027/US09325235-20160426-D00000.png
