search URL:,https://patents.google.com/?q=%28%22fast+switching%22%29&country=US&status=GRANT&type=PATENT&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-8179633-B2,Perpendicular magnetic recording system and write head with transverse auxiliary pole for fast switching of write pole magnetization ,Hitachi Global Storage Technologies Netherlands B.V.,"John Thomas Contreras, Manfred Ernst Schabes",2009-08-28,2009-08-28,2012-05-15,2012-05-15,https://patents.google.com/patent/US8179633B2/en,https://patentimages.storage.googleapis.com/9f/c7/d6/dd4d7c53575138/US08179633-20120515-D00000.png
US-10338027-B2,Fast-switching dual-polarity ion mobility spectrometry ,Smiths Detection Montreal Inc.,"Henryk Zaleski, Mark Piniarski, Simon Feldberg, Jeff Anderson, Oleg Samarin",2010-10-27,2017-06-28,2019-07-02,2019-07-02,https://patents.google.com/patent/US10338027B2/en,https://patentimages.storage.googleapis.com/da/62/da/d7a7403c8d7dc5/US10338027-20190702-D00000.png
US-8552774-B2,Fast-switching low-noise charge pump ,Qualcomm Incorporated,"Shen Wang, Sang-Oh Lee, Jeongsik Yang",2007-11-13,2011-08-12,2013-10-08,2013-10-08,https://patents.google.com/patent/US8552774B2/en,https://patentimages.storage.googleapis.com/36/6f/44/c16db2c404c4c2/US08552774-20131008-D00000.png
US-8642982-B2,Fast switching arbitrary frequency light source for broadband spectroscopic applications ,"The United States of America, as represented by the Secretary of Commerce, NIST","David F. Plusquellic, Kevin O. Douglass, Stephen E. Maxwell, Joseph T. Hodges, David A. Long, Gar-Wing Truong",2012-03-16,2013-03-14,2014-02-04,2014-02-04,https://patents.google.com/patent/US8642982B2/en,https://patentimages.storage.googleapis.com/e8/f0/24/a59b9094b5362d/US08642982-20140204-D00000.png
US-8829607-B1,Fast switching super-junction trench MOSFETs ,"Fu-Yuan Hsieh, Force Mos Technology Co., Ltd.",Fu-Yuan Hsieh,2013-07-25,2013-07-25,2014-09-09,2014-09-09,https://patents.google.com/patent/US8829607B1/en,https://patentimages.storage.googleapis.com/3a/63/0e/83043d50fe4204/US08829607-20140909-D00000.png
US-11558016-B2,Fast-switching average power tracking power management integrated circuit ,"Qorvo Us, Inc.",Nadim Khlat,2020-03-12,2021-02-23,2023-01-17,2023-01-17,https://patents.google.com/patent/US11558016B2/en,https://patentimages.storage.googleapis.com/b9/f9/9f/a8519fac9ffe5b/US11558016-20230117-D00000.png
US-8116032-B2,Perpendicular magnetic recording system with auxiliary coil and circuitry for fast switching of write pole magnetization ,Hitachi Global Storage Technologies Netherlands B.V.,"John Thomas Contreras, Manfred Ernst Schabes, David John Seagle",2009-04-06,2009-04-06,2012-02-14,2012-02-14,https://patents.google.com/patent/US8116032B2/en,https://patentimages.storage.googleapis.com/4d/43/83/ddc9d66558da12/US08116032-20120214-D00000.png
US-8493018-B2,Fast switching for power inverter ,"Tesla Motors, Inc.","Ryan Kroeze, Colin Campbell, Nicholas Robert Kalayjian",2011-01-31,2011-01-31,2013-07-23,2013-07-23,https://patents.google.com/patent/US8493018B2/en,https://patentimages.storage.googleapis.com/73/79/ac/5cba317a16a610/US08493018-20130723-D00000.png
US-10973076-B2,Fast switching between control channels during radio resource control connection ,Apple Inc.,"Li Su, Sami M. Almalfouh",2017-01-31,2020-01-16,2021-04-06,2021-04-06,https://patents.google.com/patent/US10973076B2/en,https://patentimages.storage.googleapis.com/f5/4b/c1/e593bacee05415/US10973076-20210406-D00000.png
US-8598624-B2,Fast switching hybrid IGBT device with trenched contacts ,"Force Mos Technology Co., Ltd.",Fu-Yuan Hsieh,2010-12-23,2012-08-21,2013-12-03,2013-12-03,https://patents.google.com/patent/US8598624B2/en,https://patentimages.storage.googleapis.com/fc/a5/be/f4fd7a1321fe23/US08598624-20131203-D00000.png
