search URL:,https://patents.google.com/?q=%28%22heat+switch%22%29&country=US&status=GRANT&type=PATENT&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-10502444-B2,Continuous intelligent-control-system update using information requests directed to user devices ,Google Llc,Yoky Matsuoka,2012-04-05,2018-12-11,2019-12-10,2019-12-10,https://patents.google.com/patent/US10502444B2/en,https://patentimages.storage.googleapis.com/41/4c/eb/c4c49be4c9fa0e/US10502444-20191210-D00000.png
US-9513642-B2,Flexible functionality partitioning within intelligent-thermostat-controlled HVAC systems ,Google Inc.,"Matthew Lee Rogers, Anthony Michael Fadell, Erik Charlton, Shigefumi Honjo, Yoky Matsuoka, David Sloo, Isabel Guenette",2010-11-19,2012-01-03,2016-12-06,2016-12-06,https://patents.google.com/patent/US9513642B2/en,https://patentimages.storage.googleapis.com/55/24/45/078aaf8e36fc3e/US09513642-20161206-D00000.png
US-8234883-B2,Apparatus and method for tempering glass sheets ,"Ppg Industries Ohio, Inc.","William R. Krall, Jr., William R. Siskos, Thomas M. Sailock, Joseph Medzius, DeWitt W. Lampman",2005-11-29,2005-11-29,2012-08-07,2012-08-07,https://patents.google.com/patent/US8234883B2/en,https://patentimages.storage.googleapis.com/1c/2a/08/3d62aed678ffa4/US08234883-20120807-D00000.png
US-7311782-B2,Apparatus for active temperature control of susceptors ,Tokyo Electron Limited,"Eric J. Strang, Wayne L. Johnson",2001-03-02,2005-04-12,2007-12-25,2007-12-25,https://patents.google.com/patent/US7311782B2/en,https://patentimages.storage.googleapis.com/41/e7/7c/ff6c3ddcc9cad0/US07311782-20071225-D00000.png
US-10312732-B2,System and method for device identification ,Philips Ip Ventures B.V.,"David W. Baarman, John J. Lord, Nathan P. Stien, Wesley J. Bachman",2006-03-23,2015-11-30,2019-06-04,2019-06-04,https://patents.google.com/patent/US10312732B2/en,https://patentimages.storage.googleapis.com/a1/34/63/9e589b4d12fe42/US10312732-20190604-D00000.png
US-8843242-B2,System and method for minimizing consumer impact during demand responses ,General Electric Company,Ashley Wayne Burt,2008-09-15,2010-11-17,2014-09-23,2014-09-23,https://patents.google.com/patent/US8843242B2/en,https://patentimages.storage.googleapis.com/74/ba/4c/6dfa3cab5080c5/US08843242-20140923-D00000.png
US-9020646-B2,Automated control-schedule acquisition within an intelligent controller ,Google Inc.,"Yoky Matsuoka, Eric A. Lee, Steven A. HALES, Mark D. Stefanski, Rangoli SHARAN",2011-10-21,2013-12-06,2015-04-28,2015-04-28,https://patents.google.com/patent/US9020646B2/en,https://patentimages.storage.googleapis.com/48/8e/bf/c1972aa4e33b34/US09020646-20150428-D00000.png
US-11359831-B2,Automated presence detection and presence-related control within an intelligent controller ,Google Llc,"Yoky Matsuoka, Evan J. Fisher, Mark Malhotra, Mark D. Stefanski, Rangoli SHARAN, Frank E. Astier",2012-09-30,2020-06-22,2022-06-14,2022-06-14,https://patents.google.com/patent/US11359831B2/en,https://patentimages.storage.googleapis.com/23/5d/83/1ea38f8fb2d32b/US11359831-20220614-D00000.png
US-10024548-B2,Self-cleaning oven ,The Middleby Corporation,"John H. Wiker, Frank Carbonara, Gregory J. Tomko, Michael R. Matthews, JR., Theodore James Chmiola",2003-02-21,2012-09-12,2018-07-17,2018-07-17,https://patents.google.com/patent/US10024548B2/en,https://patentimages.storage.googleapis.com/e8/1d/9d/9b4cb4ede5d7ae/US10024548-20180717-D00000.png
US-9400126-B2,Magnetic heating/cooling apparatus ,"Nissan Motor Co., Ltd.","Hidekazu Takahashi, Yutaka Tasaki",2011-11-24,2012-11-13,2016-07-26,2016-07-26,https://patents.google.com/patent/US9400126B2/en,https://patentimages.storage.googleapis.com/1b/39/b2/8af278cc2c87ba/US09400126-20160726-D00000.png
