search URL:,https://patents.google.com/?q=%28%22memristor%22%29&country=US&status=GRANT&type=PATENT&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-7846807-B2,Method for forming memristor material and electrode structure with memristance ,Hermes-Epitek Corp.,"Daniel Tang, Hong Xiao",2008-06-19,2009-06-17,2010-12-07,2010-12-07,https://patents.google.com/patent/US7846807B2/en,https://patentimages.storage.googleapis.com/07/ca/6c/04a9b9584db197/US07846807-20101207-D00000.png
US-8274312-B2,Self-reconfigurable memristor-based analog resonant computer ,The United States Of America As Represented By The Secretary Of The Air Force,"Robinson E. Pino, James W. Bohl",2011-02-25,2011-06-03,2012-09-25,2012-09-25,https://patents.google.com/patent/US8274312B2/en,https://patentimages.storage.googleapis.com/9b/dd/1b/a450a0dd95ee94/US08274312-20120925-D00000.png
US-8609459-B2,Method of manufacturing a nanostructure quick-switch memristor ,Heilongjiang University,"Dianzhong Wen, Xiaohui Bai",2009-07-02,2013-06-13,2013-12-17,2013-12-17,https://patents.google.com/patent/US8609459B2/en,https://patentimages.storage.googleapis.com/f4/a0/c3/00927149e732b8/US08609459-20131217-D00000.png
US-9135995-B2,Methods of reading and using memristor memory cells with a short read pulse ,"Micron Technology, Inc.","Bhaskar Srinivasan, Gurtej S. Sandhu",2009-09-22,2014-02-07,2015-09-15,2015-09-15,https://patents.google.com/patent/US9135995B2/en,https://patentimages.storage.googleapis.com/4b/63/37/78c0c1fdeeeb6f/US09135995-20150915-D00000.png
US-9417299-B2,Using memristor devices as switches for MRI RF coils ,Koninklijke Philips N.V.,Arne Reykowski,2009-06-19,2010-05-17,2016-08-16,2016-08-16,https://patents.google.com/patent/US9417299B2/en,https://patentimages.storage.googleapis.com/d4/c2/58/7eb8131f38e63d/US09417299-20160816-D00000.png
US-8249838-B2,Method and apparatus for modeling memristor devices ,The United States Of America As Represented By The Secretary Of The Air Force,"Robinson E. Pino, James W. Bohl",2009-11-17,2010-01-06,2012-08-21,2012-08-21,https://patents.google.com/patent/US8249838B2/en,https://patentimages.storage.googleapis.com/fb/e2/93/a9835177170cd2/US08249838-20120821-D00000.png
US-9691479-B1,Method of operating and apparatus of memristor arrays with diagonal lines interconnect between memristor cells ,Hewlett Packard Enterprise Development Lp,"Emmanuelle J. Merced Grafals, Brent Buchanan, Le Zheng",2016-04-29,2016-04-29,2017-06-27,2017-06-27,https://patents.google.com/patent/US9691479B1/en,https://patentimages.storage.googleapis.com/b8/c5/9b/e52a989b54cb68/US09691479-20170627-D00000.png
US-9104975-B2,Memristor apparatus ,"Knowmtech, Llc",Alex Nugent,2002-03-12,2012-03-15,2015-08-11,2015-08-11,https://patents.google.com/patent/US9104975B2/en,https://patentimages.storage.googleapis.com/6b/14/02/e2b4c3561e78ad/US09104975-20150811-D00000.png
US-10636552-B2,Multi-function electronic device having memristor and memcapacitor and method for manufacturing the same ,Gwangju Institute Of Science And Technology,"Moon Ho Ham, Myung Woo Son, Yun Bin JEONG",2017-03-20,2018-03-20,2020-04-28,2020-04-28,https://patents.google.com/patent/US10636552B2/en,https://patentimages.storage.googleapis.com/b6/9f/08/d45cc08e6a8972/US10636552-20200428-D00000.png
US-10910559-B2,Optoelectronic memristor devices including one or more solid electrolytes with electrically controllable optical properties ,Massachusetts Institute Of Technology,"Thomas DEFFERRIERE, Dmitri KALAEV, Harry L. Tuller, Jennifer Lilia Rupp",2018-06-01,2019-05-31,2021-02-02,2021-02-02,https://patents.google.com/patent/US10910559B2/en,https://patentimages.storage.googleapis.com/94/59/6f/9e326b782ce1da/US10910559-20210202-D00000.png
US-9978940-B2,Memristor and method of production thereof ,Provenance Asset Group Llc,"Alexander Alexandrovich BESSONOV, Dmitrii Igorevich PETUKHOV, Marina Nikolaevna KIRIKOVA, Marc Bailey, Tapani Ryhanen",2014-04-30,2014-10-23,2018-05-22,2018-05-22,https://patents.google.com/patent/US9978940B2/en,https://patentimages.storage.googleapis.com/8d/a1/b7/4ae6263b3a1a46/US09978940-20180522-D00000.png
US-9019030-B1,Memristor-based emulator for use in digital modulation ,King Fahd University Of Petroleum And Minerals,"Muhammad Taher ABUELMA'ATTI, Zainualbideen Jamal Khalifa",2014-09-18,2014-09-18,2015-04-28,2015-04-28,https://patents.google.com/patent/US9019030B1/en,https://patentimages.storage.googleapis.com/f7/ca/a5/2cde88b846365e/US09019030-20150428-D00000.png
US-9793473-B2,Memristor structures ,Hewlett Packard Enterprise Development Lp,"Shih-Yuan Wang, Jianhua Yang, Minxian Max Zhang, Alexandre M. Bratkovski, R. Stanley Williams",2013-09-05,2013-09-05,2017-10-17,2017-10-17,https://patents.google.com/patent/US9793473B2/en,https://patentimages.storage.googleapis.com/ac/29/e7/895799085eb0a2/US09793473-20171017-D00000.png
US-8283649-B2,Memristor with a non-planar substrate ,"Hewlett-Packard Development Company, L.P.","Alexandre M. Bratkovski, Shih Yuan Wang, Jianhua Yang, Michael Stuke",2009-07-28,2009-07-28,2012-10-09,2012-10-09,https://patents.google.com/patent/US8283649B2/en,https://patentimages.storage.googleapis.com/67/89/6a/7499b69be94e56/US08283649-20121009-D00000.png
US-11480695-B2,Memristor based sensor for radiation detection ,Khalifa University of Science and Technology,"Baker Mohammad, Maguy Abi Jaoude, Heba ABUNAHLA, Mahmoud Al-Qutayri, Curtis O'Kelly",2015-12-31,2021-07-15,2022-10-25,2022-10-25,https://patents.google.com/patent/US11480695B2/en,https://patentimages.storage.googleapis.com/ce/1a/1f/1139d78aa3da22/US11480695-20221025-D00000.png
US-8203171-B2,Defective graphene-based memristor ,"Hewlett-Packard Development Company, L.P.","Joshua Yang, Feng Miao, Wei Wu, Shih-Yuan Wang, R. Stanley Williams",2010-04-05,2010-04-05,2012-06-19,2012-06-19,https://patents.google.com/patent/US8203171B2/en,https://patentimages.storage.googleapis.com/74/38/ce/9add1f910021c0/US08203171-20120619-D00000.png
US-9514818-B1,Memristor using parallel asymmetrical transistors having shared floating gate and diode ,Tower Semiconductor Ltd.,"Yakov Roizin, Evgeny Pikhay",2016-05-04,2016-05-04,2016-12-06,2016-12-06,https://patents.google.com/patent/US9514818B1/en,https://patentimages.storage.googleapis.com/44/12/c2/a858af4feebf3d/US09514818-20161206-D00000.png
