search URL:,https://patents.google.com/?q=%28%22vector+field%22%29&country=US&status=GRANT&type=PATENT&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-11554496-B2,Feature detection by deep learning and vector field estimation ,Fanuc Corporation,"Te Tang, Tetsuaki Kato",2020-04-03,2020-04-03,2023-01-17,2023-01-17,https://patents.google.com/patent/US11554496B2/en,https://patentimages.storage.googleapis.com/29/46/08/a2d211e856684c/US11554496-20230117-D00000.png
US-10466081-B2,Iterative method of determining a bias of a sensor for measuring a substantially continuous physical vector field ,Movea Sas,Joe Youssef,2012-12-18,2013-12-10,2019-11-05,2019-11-05,https://patents.google.com/patent/US10466081B2/en,https://patentimages.storage.googleapis.com/c6/0e/c3/200cebfbd08649/US10466081-20191105-D00000.png
US-7141968-B2,Integrated sensor system for measuring electric and/or magnetic field vector components ,"Quasar Federal Systems, Inc.","Andrew D. Hibbs, Robert Matthews, David Matthew Jabson",2003-10-07,2004-10-07,2006-11-28,2006-11-28,https://patents.google.com/patent/US7141968B2/en,https://patentimages.storage.googleapis.com/62/cb/34/2190731959004b/US07141968-20061128-D00000.png
US-5654771-A,Video compression system using a dense motion vector field and a triangular patch mesh overlay model ,The University Of Rochester,"A. Murat Tekalp, Yucel Altunbasak, Gozde Bozdagi",1995-05-23,1995-05-23,1997-08-05,1997-08-05,https://patents.google.com/patent/US5654771A/en,https://patentimages.storage.googleapis.com/ea/e0/0b/19b11a6ce85d0f/US5654771-drawings-page-3.png
US-6526096-B2,Video coding system for estimating a motion vector field by using a series of motion estimators of varying complexity ,Nokia Mobile Phones Limited,"Jani Lainema, Marta Karczewicz, Levent Oktem",1996-09-20,1997-09-19,2003-02-25,2003-02-25,https://patents.google.com/patent/US6526096B2/en,https://patentimages.storage.googleapis.com/cc/05/bd/458886905955c7/US6526096-drawings-page-3.png
US-7161983-B2,Adaptive motion vector field coding ,Nokia Corporation,"Jani Lainema, Marta Karczewicz",1999-08-11,2004-03-05,2007-01-09,2007-01-09,https://patents.google.com/patent/US7161983B2/en,https://patentimages.storage.googleapis.com/5f/ea/cf/76d1f41df7bafb/US07161983-20070109-D00000.png
US-6442202-B1,Motion vector field error estimation ,Leitch Europe Limited,Timothy John Borer,1996-03-13,1997-03-03,2002-08-27,2002-08-27,https://patents.google.com/patent/US6442202B1/en,https://patentimages.storage.googleapis.com/ef/41/2c/bf8a13b196f894/US6442202-drawings-page-3.png
US-5300885-A,Field probe for measuring vector components of an electromagnetic field ,"Flam & Russell, Inc.",Jeffrey F. Bull,1992-06-05,1992-06-05,1994-04-05,1994-04-05,https://patents.google.com/patent/US5300885A/en,https://patentimages.storage.googleapis.com/f6/50/f8/46b208561500b6/US5300885-drawings-page-2.png
US-7289157-B2,Method for detecting saturation of a motion vector field ,Thomson Licensing,"Gérard Briand, Juan Moronta, Alain Verdier",2000-05-19,2001-05-09,2007-10-30,2007-10-30,https://patents.google.com/patent/US7289157B2/en,https://patentimages.storage.googleapis.com/34/d5/7f/c85b31021b016a/US07289157-20071030-D00000.png
US-5574663-A,Method and apparatus for regenerating a dense motion vector field ,"Motorola, Inc.","Taner Ozcelik, James C. Brailean, Aggelos K. Katsaggelos",1995-07-24,1995-07-24,1996-11-12,1996-11-12,https://patents.google.com/patent/US5574663A/en,https://patentimages.storage.googleapis.com/5b/dd/54/25b1ea860a1c2d/US5574663-drawings-page-3.png
